user_id	url	time_Spent
85113	https://www.mullen.com/	622
6861	https://www.reed.info/	381
27107	http://frederick.biz/	1197
61811	http://www.cline.com/	1072
91095	http://www.buchanan.com/	1112
70753	https://woods-todd.com/	9
10881	http://bell-smith.com/	412
68618	https://www.brewer.com/	804
88637	http://www.patel-spencer.info/	344
68504	https://www.cunningham.com/	109
95981	http://vargas.net/	331
41678	https://wheeler.org/	990
91557	http://cooper.com/	970
85290	http://hart.com/	971
41305	https://www.herring-mcdaniel.biz/	1163
78783	http://henderson-jordan.com/	1010
53387	https://www.bailey.com/	1005
17397	http://www.berry.net/	628
75343	https://flores-newman.com/	965
37503	https://www.townsend.org/	1069
7945	https://richards-castillo.info/	335
38988	http://glenn.biz/	220
15146	http://www.montgomery.com/	371
62269	https://www.ramos-poole.com/	800
8371	http://www.castillo-bass.com/	89
15381	https://www.vazquez-andrews.com/	1010
1622	http://smith.com/	615
82124	https://horn.com/	739
30318	http://www.evans-esparza.net/	766
82714	https://www.kemp.com/	936
62319	https://www.miller.info/	352
83241	http://perez.org/	1167
11233	http://www.moses.biz/	861
95829	https://johnson.net/	556
70502	https://brown-garrett.biz/	598
71912	http://www.green.com/	923
64220	http://www.schneider-lee.org/	1017
40125	http://www.terry-contreras.com/	500
51124	http://may-gibbs.com/	131
69574	http://www.hoffman.com/	876
45997	https://murillo-woods.com/	1001
96820	http://wyatt.biz/	330
89582	https://davidson-hill.com/	545
43514	https://leon.net/	893
6610	https://www.richards-fields.org/	709
18404	https://www.smith-taylor.com/	497
97618	http://www.spencer.com/	93
83366	https://www.barry.org/	41
79763	https://diaz-jones.com/	1021
2298	https://www.morgan-young.net/	790
85389	http://www.thompson.com/	699
16517	https://silva.com/	450
76252	http://www.mason.com/	310
56282	http://miller.net/	1143
65961	http://bates.com/	148
72656	https://www.kim.com/	667
63845	http://mcguire-tapia.info/	400
9438	https://www.matthews-lucas.com/	569
44532	https://allen-allen.org/	836
95020	http://turner.com/	873
22126	http://www.meyers.com/	1064
37687	http://www.walker-short.com/	1083
27289	https://thornton.net/	283
35088	https://ellis.com/	554
42162	http://bush.net/	977
50778	http://www.williams.com/	369
50577	http://www.patel.com/	886
95120	https://www.smith.com/	815
77767	http://www.james.com/	450
21015	https://ashley-dunn.net/	1121
48692	https://www.anthony.biz/	24
51910	http://www.carson.com/	123
89411	http://foley-graves.com/	642
11787	http://glover-christensen.com/	4
68920	https://jones-waters.biz/	409
81536	https://rice.com/	736
83433	http://mitchell-johnson.biz/	428
4964	http://banks.com/	63
89536	http://hamilton-richardson.com/	358
14895	http://evans.net/	1162
94579	https://www.mckee.com/	672
55847	http://www.gomez-ellis.org/	636
7184	https://williams-walker.biz/	511
84229	https://owens-deleon.com/	511
75075	http://chapman.com/	343
94153	http://www.clark-hatfield.com/	821
2535	https://www.thompson-bryant.com/	327
8036	https://www.mcdonald.com/	39
92203	https://johnson.com/	191
24764	https://garcia.com/	781
73048	http://www.smith.net/	934
44536	https://www.roberts.org/	1043
49333	http://alvarez.org/	566
41119	https://www.larsen.com/	782
1126	http://www.powell-hendrix.info/	898
43536	http://martin.com/	147
21195	http://www.anderson-wilson.biz/	981
53635	http://www.huff-martin.com/	1008
12376	http://fowler.com/	1000
92948	https://www.turner.com/	924
